ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
98IN,small_airport,B & V Flying Ranch Airport,950,NA,US,US-IN,Albion,98IN,,98IN,"-85.38860321044922, 41.36389923095703"
98KS,small_airport,Rexford Airport,2775,NA,US,US-KS,Montezuma,98KS,,98KS,"-100.49199676513672, 37.445899963378906"
98LL,small_airport,Braden Farms Airport,630,NA,US,US-IL,Watseka,98LL,,98LL,"-87.78359985351562, 40.799198150634766"
98ME,small_airport,Greaton Airfield,170,NA,US,US-ME,Saco,98ME,,98ME,"-70.518858, 43.575717"
98MN,small_airport,Up Yonder Airport,1446,NA,US,US-MN,Bemidji,98MN,,98MN,"-94.87490082, 47.29349899"
98MO,small_airport,Woodliff Airpark,750,NA,US,US-MO,Foristell,98MO,,98MO,"-90.94239807128906, 38.78620147705078"
98MT,small_airport,Rosemont Airport,4172,NA,US,US-MT,Stevensville,98MT,,98MT,"-114.00299835205078, 46.44279861450195"
98ND,small_airport,Sobolik Airport,920,NA,US,US-ND,Pisek,98ND,,98ND,"-97.62229919433594, 48.263301849365234"
98NE,small_airport,Munsterman Airport,1860,NA,US,US-NE,Glenvil,98NE,,98NE,"-98.30449676513672, 40.454200744628906"
98NM,small_airport,S & S Ranch Airport,6310,NA,US,US-NM,Wagon Mound,98NM,,98NM,"-104.71800231933594, 36.076698303222656"
98NY,small_airport,Krenzers Airport,1035,NA,US,US-NY,West Bloomfield,98NY,,98NY,"-77.53309631347656, 42.883399963378906"
98OH,small_airport,Paine's Airport,660,NA,US,US-OH,Geneva,98OH,,98OH,"-80.88310241699219, 41.82509994506836"
98OK,small_airport,Candy Lake Estate Airport,685,NA,US,US-OK,Avant,98OK,,98OK,"-96.05280303955078, 36.489200592041016"
98OL,small_airport,Copland Airport,1120,NA,US,US-OK,Duncan,98OL,,98OL,"-97.99479675292969, 34.500099182128906"
98OR,small_airport,Mach-O Acres Airport,435,NA,US,US-OR,Sheridan,98OR,,98OR,"-123.37000274658203, 45.19900131225586"
98PA,small_airport,Pleasant Hill Airport,1180,NA,US,US-PA,Portersville,98PA,,98PA,"-80.18109893798828, 40.89440155029297"
98TE,small_airport,Hilltop Airport,1320,NA,US,US-OR,Glide,98TE,,98TE,"-123.177001953125, 43.32210159301758"
98TN,small_airport,Landing At River'S Edge,1019,NA,US,US-TN,Blaine,98TN,,98TN,"-83.604167, 36.1425"
98TS,small_airport,Trap Travelstead Field,430,NA,US,US-TX,Winona,98TS,,98TS,"-95.00019836425781, 32.4182014465332"
98VA,small_airport,Glascock Airport,330,NA,US,US-VA,Arcola,98VA,,98VA,"-77.54219818115234, 38.942298889160156"
99A,small_airport,Smith's International Airport,218,NA,US,US-AR,Sherrill,99A,,99A,"-91.95870208740234, 34.40620040893555"
99AK,small_airport,Moore Creek Airport,980,NA,US,US-AK,Moore Creek,99AK,,99AK,"-157.15199279785156, 62.5989990234375"
99AZ,small_airport,Eagletail Ranch Airport,1203,NA,US,US-AZ,Tonopah,99AZ,,99AZ,"-113.2229995727539, 33.395599365234375"
99CL,small_airport,El Mirage Field Adelanto Airport,2865,NA,US,US-CA,El Mirage,99CL,,99CL,"-117.6050033569336, 34.625"
99CO,small_airport,Rock Creek Airport,5660,NA,US,US-CO,Pueblo,99CO,,99CO,"-104.81500244140625, 38.13639831542969"
99F,small_airport,El Reno Airport,1395,NA,US,US-OK,El Reno,99F,,99F,"-97.97949981689453, 35.516700744628906"
99FL,small_airport,Madison County Airport,150,NA,US,US-FL,Lee,99FL,,99FL,"-83.31099700927734, 30.447399139404297"
99IA,small_airport,Courtney's Landing Airport,835,NA,US,US-IA,Eddyville,99IA,,99IA,"-92.77799987792969, 41.21659851074219"
99II,small_airport,Cooper Field,880,NA,US,US-IN,Reelsville,99II,,99II,"-86.952527, 39.5835"
99IL,small_airport,Providence Place Field,959,NA,US,US-IL,Stockton,99IL,,99IL,"-89.9574966430664, 42.28670120239258"
99IN,small_airport,Bee-Acre Farm Strip,885,NA,US,US-IN,Atlanta,99IN,,99IN,"-86.10050201416016, 40.20610046386719"
99KS,small_airport,Elm Creek Farms Airport,1600,NA,US,US-KS,Medicine Lodge,99KS,,99KS,"-98.64939880371094, 37.4093017578125"
99KY,small_airport,Gravity Zero Airport,860,NA,US,US-KY,Danville,99KY,,99KY,"-84.69029998779297, 37.655601501464844"
99LA,small_airport,Lawson Field,25,NA,US,US-LA,Crowley,99LA,,99LA,"-92.38899993896484, 30.289400100708008"
99MI,small_airport,Denton Farms Airport,845,NA,US,US-MI,Clare,99MI,,99MI,"-84.812792, 43.756505"
99MT,small_airport,Fox Field,3750,NA,US,US-MT,Hamilton,99MT,,99MT,"-114.1780014038086, 46.09749984741211"
99NY,small_airport,Hibbard's Airport,410,NA,US,US-NY,Wilson,99NY,,99NY,"-78.78730010986328, 43.2333984375"
99OR,small_airport,Lazy F Ranch Airport,3710,NA,US,US-OR,Wallowa,99OR,,99OR,"-117.669998169, 45.6506996155"
99PA,small_airport,Nielsen Airport,1040,NA,US,US-PA,Tioga,99PA,,99PA,"-77.14136, 41.919796"
99SC,small_airport,St. Mathews Airport,278,NA,US,US-SC,St. Mathews,99SC,,99SC,"-80.688611, 33.689167"
99TE,small_airport,Pritchard Airport,800,NA,US,US-TX,Bells,99TE,,99TE,"-96.41560363769531, 33.60580062866211"
99TX,small_airport,Briggs Ranch Airport,520,NA,US,US-TX,Catarina,99TX,,99TX,"-99.56700134277344, 28.30030059814453"
99UT,small_airport,Sundog Airport,4900,NA,US,US-UT,Jensen,99UT,,99UT,"-109.4010009765625, 40.35060119628906"
99VA,small_airport,Anderson Airport,450,NA,US,US-VA,Scottsville,99VA,,99VA,"-78.4666976928711, 37.79999923706055"
99WY,small_airport,Xingu Airstrip,4340,NA,US,US-WY,Dayton,99WY,,99WY,"-107.2770004272461, 44.84579849243164"
99XA,small_airport,Briggs / Skotz Airfield,1200,NA,US,US-TX,,99XA,,,"-98.0037117004, 30.863976076700002"
99XS,small_airport,Sam Little International Airport,900,NA,US,US-TX,Weatherford,99XS,,99XS,"-97.80560302734375, 32.68349838256836"
99Y,small_airport,Greeley Municipal Airport,2035,NA,US,US-NE,Greeley,99Y,,99Y,"-98.54620361328125, 41.55830001831055"
9A2,small_airport,Powell STOLport,992,NA,US,US-TN,Knoxville,9A2,,9A2,"-84.00440216064453, 36.044498443603516"
9A3,small_airport,Chuathbaluk Airport,244,NA,US,US-AK,Chuathbaluk,PACH,CHU,9A3,"-159.216003, 61.579102"
9A8,small_airport,Ugashik Airport,25,NA,US,US-AK,Ugashik,9A8,UGS,9A8,"-157.399002075, 57.5279006958"
9A9,small_airport,Shiflet Field,1212,NA,US,US-NC,Marion,9A9,,9A9,"-82.00980377197266, 35.720699310302734"
9AA1,small_airport,Elk Ranch Airport,800,NA,US,US-AK,Palmer,9AA1,,9AA1,"-149.29073, 61.68203"
9AA9,small_airport,Airkat Airpark,260,NA,US,US-AK,Haines,9AA9,,9AA9,"-136.019443, 59.403055"
9AK,small_airport,Totatlanika River Airport,2717,NA,US,US-AK,Totatlanika River,9AK,,9AK,"-148.52200317382812, 64.02570343017578"
9AK0,small_airport,Sports Mans Paradise Airport,3120,NA,US,US-AK,Tok,9AK0,,9AK0,"-143.23500061035156, 62.51210021972656"
9AK2,small_airport,Kako Airport,300,NA,US,US-AK,Russian Mission,9AK2,,9AK2,"-161.4380035, 61.89889908"
9AK3,small_airport,Nikolai Creek Airport,30,NA,US,US-AK,Tyonek,9AK3,,9AK3,"-151.44900512695312, 61.01390075683594"
9AK4,small_airport,Arctic Angel Airport,1009,NA,US,US-AK,Delta Junction,9AK4,,9AK4,"-145.8300018310547, 64.13739776611328"
9AK5,small_airport,Sky Harbor Airport,340,NA,US,US-AK,Anchorage,9AK5,,9AK5,"-149.81900024414062, 61.11650085449219"
9AK6,small_airport,Leisurewood Airstrip Owners Assoc Airport,366,NA,US,US-AK,Wasilla,9AK6,,9AK6,"-149.6479949951172, 61.62409973144531"
9AK7,small_airport,Cubdivision Airport,250,NA,US,US-AK,Big Lake,9AK7,,9AK7,"-149.81700134277344, 61.58980178833008"
9AK8,small_airport,Wolf Track Airport,90,NA,US,US-AK,Wasilla,9AK8,,9AK8,"-149.6820068359375, 61.624698638916016"
9AR0,small_airport,Robertson Airport,207,NA,US,US-AR,Mc Crory,9AR0,,9AR0,"-91.20649719238281, 35.18899917602539"
9AR4,small_airport,Tango 7 Airport,233,NA,US,US-CT,Woodson,9AR4,,9AR4,"-92.167655, 34.5230917"
9AR9,small_airport,Henry Field,250,NA,US,US-AR,Cabot,9AR9,,9AR9,"-91.989486, 34.887389"
9B1,small_airport,Marlboro Airport,285,NA,US,US-MA,Marlboro,9B1,,9B1,"-71.50900268554688, 42.34320068359375"
9B8,small_airport,Salmon River Airfield,540,NA,US,US-CT,Marlborough,9B8,,9B8,"-72.44229888916016, 41.589500427246094"
9CA0,small_airport,Psk Ranch Airport,3840,NA,US,US-CA,Tehachapi,9CA0,,9CA0,"-118.5979995727539, 35.11389923095703"
9CA6,small_airport,North Valley Airport,4960,NA,US,US-CA,Bishop,9CA6,,9CA6,"-118.09500122070312, 37.86909866333008"
9CA7,small_airport,Harris River Ranch Airport,450,NA,US,US-CA,Sanger,9CA7,,9CA7,"-119.43599700927734, 36.7672004699707"
9CL0,small_airport,Turlock Airpark,100,NA,US,US-CA,Turlock,9CL0,,9CL0,"-120.84400177001953, 37.47079849243164"
9CL2,small_airport,Christensen Ranch Airport,380,NA,US,US-CA,Hollister,9CL2,,9CL2,"-121.33699798583984, 36.87160110473633"
9CL3,small_airport,Likely Airport,4420,NA,US,US-CA,Likely,9CL3,,9CL3,"-120.5260009765625, 41.24020004272461"
9CL4,small_airport,Hart Mine Airport,4620,NA,US,US-CA,Ivanpah,9CL4,,9CL4,"-115.19200134277344, 35.28329849243164"
9CL5,small_airport,Blair Strip,231,NA,US,US-CA,Hanford,9CL5,,9CL5,"-119.64099884033203, 36.27519989013672"
9CL7,small_airport,Old Aerodrome,700,NA,US,US-CA,Marysville,9CL7,,9CL7,"-121.35900115966797, 39.32490158081055"
9CL9,small_airport,Spezia Airport,,NA,US,US-CA,Walnut Grove,9CL9,,9CL9,"-121.53399658203125, 38.21659851074219"
9CO2,small_airport,Van Slyke Field,5400,NA,US,US-CO,Watkins,9CO2,,9CO2,"-104.4759979, 39.69609833"
9CO3,small_airport,Hubbard Airport,4670,NA,US,US-CO,Gateway,9CO3,,9CO3,"-108.98400115966797, 38.68330001831055"
9CO5,small_airport,Scherler Private Airstrip,4126,NA,US,US-CO,Brandon,9CO5,,9CO5,"-102.43699645996094, 38.576698303222656"
9CO6,small_airport,D Bar D Airport,6752,NA,US,US-CO,Elizabeth,9CO6,,9CO6,"-104.572998046875, 39.28129959106445"
9CO7,small_airport,Beaugh Airport,4770,NA,US,US-CO,Kersey,9CO7,,9CO7,"-104.572998046875, 40.340599060058594"
9CO8,small_airport,Herrick Airport,6000,NA,US,US-CO,Kiowa,9CO8,,9CO8,"-104.34315, 39.2793"
9CO9,small_airport,Phylcon Ranch Airport,6585,NA,US,US-CO,Mesa,9CO9,,9CO9,"-108.14199829101562, 39.12910079956055"
9F1,small_airport,Valley Mills Municipal Airport,751,NA,US,US-TX,Valley Mills,9F1,,9F1,"-97.42949676513672, 31.621000289916992"
9FD2,small_airport,Blackwater Creek Ultralightport,80,NA,US,US-FL,Plant City,9FD2,,9FD2,"-82.14649963378906, 28.136999130249023"
9FD5,small_airport,Thompson's Goinbroke Aero Ranch Airport,85,NA,US,US-FL,Citra,9FD5,,9FD5,"-82.14289855957031, 29.386600494384766"
9FD7,small_airport,Fort Atkinson Plantation Airpark,90,NA,US,US-FL,Day,9FD7,,9FD7,"-83.309044, 30.196225"
9FD9,small_airport,Buddys Ag Service Airport,100,NA,US,US-FL,Mc Alpin,9FD9,,9FD9,"-82.9679031372, 30.1224002838"
