"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,Source Used for Orbital Data,Source,Source,Source,Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spaceway 3,USA,USA,Hughes Network Systems,Commercial,Communications,,GEO,,-94.93,"35,785","35,787",2.37E-05,0.06,1436.1,"6,100","3,655",,8/14/07,12 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5 ECA,2007-036A,32018,,JM/12_08,,http://www.lib.cas.cz/space.40/2007/036A.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spaceway F1,USA,USA,"DirecTV, Inc.",Commercial,Communications,,GEO,,-102.87,"35,785","35,787",2.37E-05,0.05,1436.1,"5,993","3,691","12,300",4/26/05,12.6 yrs.,Boeing Satellite Systems,USA,Ocean Odyssey,Zenit 3SL,2005-015A,28644,17 Ku-band transponders; high definition.,JM/12_08,http://www.boeing.com/defense-space/space/bss/factsheets/702/spaceway/spaceway.html,http://www.directv.com/DTVAPP/aboutus/headline.dsp?id=04_26_2005A,http://www.lib.cas.cz/www/space.40/2005/015A.HTM,http://www.lib.cas.cz/knav/space.40/2005/I015A.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spaceway F2,USA,USA,"DirecTV, Inc.",Commercial,Communications,,GEO,,-99.08,"35,785","35,787",2.37E-05,0.04,1436.1,"5,993","3,691","12,300",11/16/05,12.6 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5 ECA,2005-046B,28903,17 Ku-band transponders; high definition.,JM/12_08,http://www.boeing.com/defense-space/space/bss/factsheets/702/spaceway/spaceway.html,http://home.businesswire.com/portal/site/google/index.jsp?ndmViewId=news_view&newsId=20051116006130&newsLang=en,http://www.lib.cas.cz/www/space.40/2005/046A.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spainsat,NR,Spain,Hisdesat/Ministry of Defense,Military,Communications,,GEO,,13.06,"35,745","35,826",9.61E-04,0.06,1436.1,"3,680","1,467",,3/11/06,,Space Systems/Loral,USA,Guiana Space Center,Ariane 5,2006-007A,28946,Secure communications satellite for Spanish Ministry of Defense; both X and Ku-band.,JM/12_08,http://www.space.eads.net/,http://www.defenseworld.net/eurosatory2006/news.asp/var/10280-DefenseAerospacePressnews-1,http://mek.kosmo.cz/novinky/starty/current.htm,http://www.satnews.com/stories2006/2084.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPIRALE-A (Système Pr_paratoire Infra-Rouge pour l'Alerte),France,France,Ministry of Defense/General Delegation for Ordnance (DGA),Military,Technology Development,Infrared Imaging,Elliptical,,0,240,"31,342",7.02E-01,2,547,117,,,2/11/09,,EADS Astrium,France,Guiana Space Center,Ariane 5 ECA,2009-008C,33751,Demonstration program designed to collect infrared images of terrestrial backgrounds and analyze them to assess the detectability of ballistic missiles during their powered phase. It will pave the way for a future ballistic missile warning system.,SC - ASCR,http://www.spacemart.com/reports/HOT_BIRD_10_NSS_9_SPIRALE_A_And_B_In_orbit_999.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx664.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPIRALE-B (Système Pr_paratoire Infra-Rouge pour l'Alerte),France,France,Ministry of Defense/General Delegation for Ordnance (DGA),Military,Technology Development,Infrared Imaging,Elliptical,,0,389,"17,480",5.58E-01,2.1,314,117,,,2/11/09,,EADS Astrium,France,Guiana Space Center,Ariane 5 ECA,2009-008D,33752,Demonstration program designed to collect infrared images of terrestrial backgrounds and analyze them to assess the detectability of ballistic missiles during their powered phase. It will pave the way for a future ballistic missile warning system.,SC - ASCR,http://www.spacemart.com/reports/HOT_BIRD_10_NSS_9_SPIRALE_A_And_B_In_orbit_999.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx664.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSOT (Sistema Satelital para la ObservaciÊn de la Tierra),Chile,Chile,Chilean Air Force,Government/Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,622,624,1.43E-04,98,97.2,117,,,12/17/11,,Astrium,France,Guiana Space Center,Soyuz 2/Fregat,2011-076E,38011,"Extremely high-quality satellite images with applications such as mapping, agriculture, town planning, and natural resource, risk and disaster management.",www.satellitedebris.net 12/12,http://www.arianespace.com/news-mission-update/2011/vs02-success.asp,,,http://www.astrium.eads.net/en/programme/ssto-high-resolution-earth-observation-for-chile.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST-2 (Singapore-Taiwan 2),NR,Singapore/Taiwan,Singapore Telecommunications Ltd. (SingTel)/Chunghwa Telecom Co. Ltd.,Commercial,Communications,,GEO,,87.99,"35,783","35,791",9.49E-05,0.02,1436.12,"5,090",,,5/20/11,15 yrs.,Mitsubishi Electric Corporation,Japan,Guiana Space Center,Ariane 5,2011-022B,37606,"Will replace ST1. Six antennas, 41 Ku-band tarnsponders and 10 C-band transponders.",JM/9_11,http://www.wantchinatimes.com/news-subclass-cnt.aspx?id=20110519000123&cid=1204&MainCatID=12,http://www.lib.cas.cz/space.40/2011/022B.HTM,http://www.planet4589.org/space/log/geo.log,http://nssdc.gsfc.nasa.gov/spacewarn/spx691.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star One C1,Brazil,Brazil,Embratel Star One,Commercial,Communications,,GEO,,-64.98,"35,703","35,778",8.91E-04,0.03,1436,"4,100","1,750","10,500",11/14/07,15 yrs.,Thales Alenia Space,France,Guiana Space Center,Ariane 5,2007-056A,32293,"Has one X-band transponder for military use. 28 C-band and 16 Ku-band transponders, services to Brazil and neighboring countries.",JM/12_08,http://www.lib.cas.cz/space.40/2007/056A.HTM,http://nssdc.gsfc.nasa.gov/spacewarn/spx649.html,http://www.arianespace.com/site/news/kit/Skynet5B_StarOneC1_GB.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star One C2,Brazil,Brazil,Embratel Star One,Commercial,Communications,,GEO,,-69.93,"35,776","35,796",2.37E-04,0.06,1436.1,"4,100","1,750",,4/18/08,,Thales Alenia Space,France,Guiana Space Center,Ariane 5 ECA,2008-018B,32768,"Has one X-band transponder for military use. 28 C-band and 16 Ku-band transponders, services to Brazil and neighboring countries.",JM/12_08,http://www.lib.cas.cz/space.40/2008/I017A.HTM,http://nssdc.gsfc.nasa.gov/spacewarn/spx654.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star One C3,Brazil,Brazil,Embratel Star One,Commercial,Communications,,GEO,,-75,"35,791","35,848",6.76E-04,0.02,1437.78,"3,225","1,402",,11/10/12,15 yrs.,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2012-062A,38991,"28 C-band, 16 Ku-band, entire South American region.",SC - ASCR ,http://www.space-travel.com/reports/Ariane_5_orbits_Eutelsat_21B_and_Star_One_C3_satellites_999.html,http://space50.kosmo.cz/s40/2012/I062A.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star One C4,Brazil,Brazil,Embratel Star One,Commercial,Communications,,GEO,,-70,"35,786","35,801",1.78E-04,0,1436.1,"5,634",,"15,600",7/15/15,15 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2015-034B,40733,48 transponders.,JM/8_15,http://www.starone.com.br/en/internas/satelite_c4/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star One D1,NR (1/17),Brazil,Embratel Star One,Commercial,Communications,,GEO,,-84,"35,741","35,777",4.27E-04,0,1434.7,"6,433",,,12/21/16,15 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 5,2016-082B,41904,"Video and radio broadcasters, Internet service providers and direct-to-home television programming, satellite telephone calls, and high-speed data transmissions over Brazil, Mexico and other parts of Latin America.",JM/1_17,http://spaceflightnow.com/2016/12/21/brazilian-and-japanese-communications-satellites-launched-by-ariane-5-rocket/,http://www.planet4589.org/space/log/geo.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STARE-B (Horus [Space-Based Telescopes for Actionable Refinement of Ephemeris]),USA,USA,National Reconaissance Office,Military,Space Science,,LEO,Non-Polar Inclined,0,500,506,4.36E-04,40.5,94.6,3,,,11/19/13,,Lawrence Livermore National Laboratory,USA,Wallops Flight Facility,Minotaur 1,2013-064T,39397,Optical sensors to detect orbiting payloads and debris for orbit measurement.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STARS-C Oyaki,NR (1/17),Japan,Shizuoka University,Civil,Technology Development,,LEO,Non-Polar Inclined,0,400,406,4.43E-04,51.64,92.62,,2,,12/19/16,,Shizuoka University,Japan,International Space Center,J-SSOD 5,1998-067KR,41895,Consists of two satellites tethered. Technology development of tether and dynamic motion analysis.,JMSatcat,http://spaceflightnow.com/tracking/launchlog.html,http://weebau.com/flights/htv6.htm,http://www.planet4589.org/space/log/satcat.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STPSat-2 (USA 217),USA,USA,USAF Space Test Program,Military,Technology Development,,LEO,Polar,0,650,650,0.00E+00,72,97.73,180,,,11/20/10,1 yr.,Ball Aerospace,USA,Kodiak Launch Complex,Minotaur 4,2010-062A,37222,Two top-priority investigations from the miltary's Space Experiment Review Board.,SC - ASCR,nssdc.gsfc.nasa.gov/spacewarn/spx685.html,http://www.space-travel.com/reports/Ball_Aerospace_STPSat_2_Satellite_Launches_Aboard_STP_S26_Mission_999.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STPSat-3 (Space Test Program Satellite-3) ,USA,USA,US Air Force,Military,Technology Development,,LEO,Non-Polar Inclined,0,497,507,7.28E-04,40.51,94.66,137,,,11/19/13,3 yrs.,Ball Aerospace,USA,Wallops Flight Facility,Minotaur 1,2013-064A,39380,"Carries 5 packages for Air Force, Army, Navy NASA/NOAA.",SC - ASCR,http://www.onlineamd.com/ball-aerospace-satellite-usaf-transfer-011414.aspx,http://space50.kosmo.cz/s40/2013/I064A.HTM,http://www.zarya.info/Diaries/Launches/Launches.php?year=2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"STSS ATRR (Space Tracking and Surveillance System Advanced Technology Risk Reduction Satellite, USA 205)",USA,USA,Missile Defense Agency (MDA),Military,Technology Development,,LEO,Sun-Synchronous,0,867,879,8.28E-04,98.93,102.41,,,,5/5/09,,Northrop Grumman,USA,Vandenberg AFB,Delta 2,2009-023A,34903,Detect and track missile flights.,SC - ASCR,http://www.lib.cas.cz/space.40/2009/023A.HTM,http://www.satprnews.com/2009/05/11/satellite-launched-by-missile-defense-agency/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STSS Demo-1 (Space Tracking and Surveillance System Demonstrator),USA,USA,Missile Defense Agency (MDA),Military,Technology Development,,LEO,Non-Polar Inclined,0,"1,347","1,352",3.24E-04,58,112.68,"2,240","1,100",,9/25/09,2-4 yrs.,Northrop Grumman,USA,Cape Canaveral,Delta 2,2009-052A,35937,Use sensors on the two spacecraft to track ballistic missiles.,SC - ASCR,http://spaceflightnow.com/delta/d344/090919stss.html,http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2009/052A.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STSS Demo-2 (Space Tracking and Surveillance System Demonstrator),USA,USA,Missile Defense Agency (MDA),Military,Technology Development,,LEO,Non-Polar Inclined,0,"1,339","1,351",7.78E-04,58,112.58,"2,240","1,100",,9/25/09,2-4 yrs.,Northrop Grumman,USA,Cape Canaveral,Delta 2,2009-052B,35938,Dathfinusrs for Missile Defense Ggency's 200 Capellite LEO minstellation.,SC - ASCR,http://spaceflightnow.com/delta/d344/090919stss.html,http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2009/052B.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superbird 7 (Superbird C2),Japan,Japan,Sky Perfect JSAT Corporation,Commercial,Communications,,GEO,,143.77,"35,778","35,794",1.90E-04,0.12,1436.1,"5,000",,,8/14/08,15 yrs.,Mitsubishi Electric Corporation,Japan,Guiana Space Center,Ariane 5 ECA,2008-038A,33274,"28 Ku-band transponders to provide internet and television services to Japan, East Asia, and the Pacific region.",JM/12_08,http://global.mitsubishielectric.com/bu/space/satellite/communication/superbird_c2_7.html,http://www.lib.cas.cz/space.40/2008/038A.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superbird-B2 (Superbird 4),Japan,Japan,Sky Perfect JSAT Corporation,Commercial,Communications,,GEO,,162.03,"35,779","35,793",1.66E-04,0.01,1436.09,"4,051","2,160","5,400 (EOL)",2/18/00,10 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2000-012A,26095,"23 Ku-band, 6 Ka-band; Japan, Okinawa; business communications.",JM/12_08,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx556.html,http://www.superbird.co.jp/english/superbird/top.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swift ,USA,USA/United Kingdom/Italy,Goddard Space Flight Center/Penn State University,Government/Civil,Space Science,,LEO,Non-Polar Inclined,0,571,590,1.37E-03,20.6,96.3,"1,463",,"1,040",11/20/04,7 yrs.,Spectrum Astro (General Dynamics),USA,Cape Canaveral,Delta 7320,2004-047A,28485,Multi-wavelength observatory for study of gamma-ray burst (GRB) science; mission life 2 yrs.,www.satellitedebris.net 12/12,http://www.spacenewsfeed.co.uk/2004/21November2004_30.html,http://swift.gsfc.nasa.gov/docs/swift/swiftsc.html,http://www.planet4589.org/space/jsr/jsr.html,http://www.lib.cas.cz/www/space.40/2004/047A.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syracuse 3A (Systeme de Radio Communications Utilisant un Satellite),France,France,Defense Ministry,Military,Communications,,GEO,,47.05,"35,778","35,792",1.66E-04,0,1436.06,"3,725","1,650","5,640",10/13/05,12 yrs.,Alcatel Alenia Space,France/Italy,Guiana Space Center,Ariane 5,2005-041B,28885,Military communications; designed to integrate with UK's Skynet and Italy's Sicral.,JM/12_08,http://www.alcatel.com/lead/syracuse3A_launch.htm,http://www.spacedaily.com/news/launchers-05zzzn.html,http://www.satnews.com/stories2005/1501.htm,http://www.france-science.org/home/page.asp?target=nfo-let&PUBLID=9&LIVRID=8438&LNG=us#21086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syracuse 3B (Systeme de Radio Communications Utilisant un Satellite),France,France,Defense Ministry,Military,Communications,,GEO,,-5.17,"35,772","35,801",3.44E-04,0.03,1436.09,"3,750","1,658",,8/11/06,12 yrs.,Alcatel Alenia Space,France/Italy,Guiana Space Center,Ariane 5,2006-033B,29273,Completes Syracuse III system; voice communication and secure data transmission; can be integrated with NATO and German military satellites.,JM/12_08,http://www.home.alcatel.com/vpr/vpr.nsf/DateKey/07072006uk,http://www.lib.cas.cz/www/space.40/2006/033B.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TacSat 4,USA,USA,Naval Research Laboratory,Military,Technology Development,,Elliptical,Molniya,0,658,"11,836",4.43E-01,63.64,235.16,450,,"1,000",9/27/11,,Naval Research Laboratory/Johns Hopkins University Applied Physics Laboratory,USA,Kodiak Launch Complex,Minotaur 4,2011-052A,37818,10 Ultra High Frequency (UHF) channels; allows forward deployed troops to communicate using existing hand-held radios without the need to stop and point an antenna towards the satellite,,http://www.nrl.navy.mil/media/news-releases/2011/nrl-tacsat4-launches-to-augment-communications-needs,http://www.onr.navy.mil/Media-Center/Fact-Sheets/TacSat-Tactical-Microsatellite.aspx,http://www.lib.cas.cz/space.40//2011/052A.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TacSat 6,NR,USA,Operational Responsive Space (ORS) Office,Military,Technology Development,,LEO,Polar,0,443,886,3.15E-02,120.3,98,,,,12/5/13,,Air Force Research Laboratory (AFRL),USA,Vandenberg AFB,Atlas 5,2013-072M,39473,,ZARYA estimated,http://www.spaceflight101.com/atlas-v-nrol-39-launch-updates.html,http://www.zarya.info/Diaries/Launches/Launches.php?year=2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanyusha YuZGU-1 (Radioskaf RS-6),NR (10/17),USA/Russia,Tomsk Polytechnic University/Southwestern State University,Civil,Communications,Amateur Radio,LEO,Non-Polar Inclined,0,397,407,7.38E-04,51.6,92.6,5,,,8/17/17,,Southwestern State University,USA,International Space Center,Manual Deployment,1998-067NA,42912,Amateur radio.,JMSatcat/10_17,https://www.longroom.com/discussion/635254/russian-spacewalking-cosmonauts-release-worlds-first-3d-printed-satellite-from-iss,http://www.planet4589.org/space/log/satcat.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanyusha YuZGU-2 (Radioskaf RS-7),NR (10/17),USA/Russia,Tomsk Polytechnic University/Southwestern State University,Civil,Communications,Amateur Radio,LEO,Non-Polar Inclined,0,398,409,8.12E-04,51.6,92.6,5,,,8/17/17,,Southwestern State University,USA,International Space Center,Manual Deployment,1998-067NB,42913,Amateur radio.,JMSatcat/10_17,https://www.longroom.com/discussion/635254/russian-spacewalking-cosmonauts-release-worlds-first-3d-printed-satellite-from-iss,http://www.planet4589.org/space/log/satcat.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TDRS-10 (Tracking and Data Relay Satellite, TDRS-J)",USA,USA,National Aeronautics and Space Administration (NASA),Government,Communications,,GEO,,-40.75,"35,768","35,802",4.03E-04,1.64,1436.04,"3,180","1,600","2,300 (EOL)",12/4/02,11 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2A,2002-055A,27566,"Tracking and communications with space shuttle, other missions.",JM/12_08,,http://www.boeing.com/defense-space/space/bss/factsheets/601/tdrs_hij/tdrs_hij.html,http://www.spaceflightnow.com/atlas/ac144/021201tdrss.html,http://nmsp.gsfc.nasa.gov/tdrss/tconst.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TDRS-11 (Tracking and Data Relay Satellite, TDRS K)",USA,USA,National Aeronautics and Space Administration (NASA)/Goddard Space Flight Center,Government,Communications,,GEO,,-171,"35,732","35,844",1.33E-03,7,1436.18,"3,454","1,600","2,300 (EOL)",1/31/13,15 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2013-004A,39070,New generation of tracking and commmunication satellites.,SC - ASCR,http://www.space.com/19559-nasa-launches-relay-satellite-tdrs-k.html,http://www.spaceflight101.com/tdrs-k-launch-upates.html,http://space50.kosmo.cz/s40/2013/INDEX1.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TDRS-12 (Tracking and Data Relay Satellite, TDRS L)",USA,USA,National Aeronautics and Space Administration (NASA),Government,Communications,,GEO,,,"35,780","35,785",5.93E-05,6.99,1435.88,"3,454","1,600","3,500 (EOL)",1/23/14,15 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2014-004A,39504,New generation of tracking and commmunication satellites.,SC - ASCR,http://www.nasaspaceflight.com/2014/01/ula-atlas-v-launch-tdrs-l/,http://www.zarya.info/Diaries/Launches/Launches.php?year=2014,http://space50.kosmo.cz/s40/2014/I004A.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TDRS-13 (Tracking and Data Relay Satellite, TDRS M)",NR (10/17),USA,National Aeronautics and Space Administration (NASA),Government,Communications,,GEO,,-149.75,"35,755","35,813",6.88E-04,0,1436,"3,452","1,600","3,500 (EOL)",8/18/17,15 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2017-047A,42915,,JMGeolog/10_17,https://spaceflightnow.com/2017/08/18/atlas-5-rocket-delivers-nasa-data-router-into-space-for-astronauts-and-satellites/,http://www.planet4589.org/space/log/geo.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TDRS-3 (Tracking and Data Relay Satellite, TDRS-C) ",USA,USA,National Aeronautics and Space Administration (NASA),Government,Communications,,GEO,,84.41,"35,693","35,878",2.19E-03,11.53,1436.06,"3,180","1,600","1,800",9/29/88,10 yrs.,TRW Defense and Space Systems Group,USA,Cape Canaveral,Space Shuttle (STS 26),1988-091B,19548,Backup; still partially operational.,JM/12_08,,http://amanda.physics.wisc.edu/data/comms-summary.shtml,http://nssdc.gsfc.nasa.gov/database/MasterCatalog?sc=1988-091B,http://nmsp.gsfc.nasa.gov/tdrss/tconst.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TDRS-5 (Tracking and Data Relay Satellite, TDRS-E)",USA,USA,SES Americom (SES [Soci_t_ Europ_enne des Satellites (SES)]),Government/Commercial,Communications,,GEO,,-167.14,"35,773","35,796",2.73E-04,9.4,1436.99,"3,180","1,600","1,800",8/2/91,10 yrs.,TRW Defense and Space Systems Group,USA,Cape Canaveral,Space Shuttle (STS 43),1991-054B,21639,Used by South Pole station.,JM/12_08,http://www.friends-partners.ru/partners/mwade/craft/tdrs.htm,http://ses-americom.com/satellites/tdrs_5.html,http://www.spaceflightnow.com/atlas/ac144/021201tdrss.html,http://nmsp.gsfc.nasa.gov/tdrss/tconst.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TDRS-6 (Tracking and Data Relay Satellite, TDRS-F)",USA,USA,National Aeronautics and Space Administration (NASA)/SES Americom (SES [Soci_t_ Europ_enne des Satellites (SES)]),Government/Commercial,Communications,,GEO,,-171.35,"35,773","35,787",1.66E-04,8.74,1435.7,"3,180","1,600","1,800",1/13/93,10 yrs.,TRW Defense and Space Systems Group,USA,Cape Canaveral,Space Shuttle (STS 54),1993-003B,22314,"Tracking and communications with space shuttle, other missions; leased access to C-band by Americom.",JM/12_08,http://www.worldsat.net/610.html,http://ses-americom.com/satellites/tdrs_6.html,http://www.spaceflightnow.com/atlas/ac144/021201tdrss.html,http://nmsp.gsfc.nasa.gov/tdrss/tconst.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TDRS-7 (Tracking and Data Relay Satellite, TDRS-G)",USA,USA,National Aeronautics and Space Administration (NASA),Government,Communications,,GEO,,-150.53,"35,767","35,803",4.27E-04,10.6,1436.04,"3,180","1,600","1,800",7/13/95,10 yrs.,TRW Defense and Space Systems Group,USA,Cape Canaveral,Space Shuttle (STS 70),1995-035B,23613,"Tracking and communications with space shuttle, other missions.",JM/12_08,,http://nssdc.gsfc.nasa.gov/spacewarn/spx501.html,http://www.spaceflightnow.com/atlas/ac144/021201tdrss.html,http://nmsp.gsfc.nasa.gov/tdrss/tconst.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TDRS-8 (Tracking and Data Relay Satellite, TDRS-H)",USA,USA,National Aeronautics and Space Administration (NASA),Government,Communications,,GEO,,88.76,"35,768","35,808",4.74E-04,0.9,1436.2,"3,180","1,600","2,300 (EOL)",6/30/00,11 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2A,2000-034A,26388,"Tracking and communications with space shuttle, other missions; not fully functional.",JM/12_08,http://nssdc.gsfc.nasa.gov/spacewarn/spx560.html,http://www.boeing.com/defense-space/space/bss/factsheets/601/tdrs_hij/tdrs_hij.html,http://www.spaceflightnow.com/atlas/ac144/021201tdrss.html,http://nmsp.gsfc.nasa.gov/tdrss/tconst.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TDRS-9 (Tracking and Data Relay Satellite, TDRS-I)",USA,USA,National Aeronautics and Space Administration (NASA),Government,Communications,,GEO,,-62.43,"35,768","35,809",4.86E-04,0.02,1436.11,"3,180","1,600","2,300 (EOL)",3/8/02,11 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2A,2002-011A,27389,"Tracking and communications with space shuttle, other missions. In storage.",JM/12_08,http://nssdc.gsfc.nasa.gov/spacewarn/spx581.html,http://www.boeing.com/defense-space/space/bss/factsheets/601/tdrs_hij/tdrs_hij.html,http://www.spaceflightnow.com/atlas/ac144/021201tdrss.html,http://nmsp.gsfc.nasa.gov/tdrss/tconst.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telkom 2,Indonesia,Indonesia,PT Telkomunikasi,Commercial,Communications,,GEO,,118.02,"35,781","35,793",1.42E-04,0.04,1436.1,"1,930",899,,11/16/05,15 yrs.,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2005-046A,28902,"24 C-band transponders; internet, data, voice and video services to Indonesia.",JM/12_08,http://english.people.com.cn/200511/18/eng20051118_222343.html,http://www.orbital.com/Template.php?Section=News&NavMenuID=32&template=PressReleaseDisplay.php&PressReleaseID=533,http://www.orbital.com/SatellitesSpace/GEO/TELKOM/,http://www.lib.cas.cz/www/space.40/2005/046B.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telkom 3S,NR (9/17),Indonesia,PT Telkomunikasi,Commercial,Communications,,GEO,,117.97,"35,780","35,795",1.78E-04,0,1436.1,"3,550",,"6,400",2/14/17,18 yrs.,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5 ECA,2017-007A,41944,Will replace Telkom 2.,JMGeo9_17,https://spaceflightnow.com/2017/02/14/brazilian-and-indonesian-telecom-satellites-healthy-after-ariane-5-launch/,http://prehled-druzic.blogspot.cz/2017/02/2017-007.html#yA,http://planet4589.org/space/log/geo.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telstar 11N,NR,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-37.05,"35,774","35,801",3.20E-04,0.04,1436.13,"4,010",,,2/26/09,15 yrs.,Space Systems/Loral,USA,Ocean Odyssey,Zenit 3SLB,2009-009A,34111,"39 Ku-band transponders; North America, Europe, Africa, across Atlantic.",SC - ASCR,http://nssdc.gsfc.nasa.gov/spacewarn/spx664.html,http://www.telesat.ca/File/B594215A79394AD69A24FA7A237275E7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telstar 12 (Orion 2),USA,Multinational,Eutelsat -- leased from Loral Skynet Satellite Services (Loral Global Alliance) ,Commercial,Communications,,GEO,,-14.99,"35,773","35,799",3.08E-04,0.05,1436.09,"3,878","1,900","10,600",10/19/99,13 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 44LP,1999-059A,25949,"Voice and video communications to the Americas, Europe, and Africa",JM/12_08,http://www.eutelsat.com/satellites/4_1.html,http://www.loralglobalalliance.com/fleet/loral_skynet/lor_foot_us.asp.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx552.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telstar 18 (Apstar 5),NR,Multinational,Loral Skynet Satellite Services (Loral Global Alliance)/APT Satellite Holdings Ltd.,Commercial,Communications,,GEO,,138.04,"35,778","35,795",2.02E-04,0.01,1436.1,"4,640","2,500","16,000 (EOL)",6/29/04,13 yrs.,Space Systems/Loral,USA,Ocean Odyssey,Zenit 3SL,2004-024A,28364,54 active transponders; one of the most powerful communications satellites built to date; coverage across East Asia and the Pacific Ocean,JM/12_08,http://www.loralglobalalliance.com/fleet/loral_skynet/lor_overview_us.asp.html,http://www.intelsat.com/news/releases/press/2003-26.asp,http://www. Universetoday.com/am/publish/sea_launch_sends_telstar_18.html,http://www.spacenewsfeed.co.uk/2004/29August2004_4.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
