"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,Source Used for Orbital Data,Source,Source,Source,Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altair-1 (Altair Pathfinder),NR (10/17),USA,Millennium Space Systems,Commercial,Technology Demonstration,,LEO,Non-Polar Inclined,0,401,404,2.21E-04,51.6,92.6,10,,,5/18/17,.25 yrs.,Millennium Space Systems,USA,International Space Center,Nanorack Deployer,1998-067LS,42711,,JMSatcat/10_17,https://eoportal.org/web/eoportal/satellite-missions/content/-/article/harp,http://www.planet4589.org/space/log/satcat.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazonas-2,Brazil,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,GEO,,-61,"35,767","35,805",4.51E-04,0.03,1436.08,"5,465",,"15,300",10/1/09,15 yrs.,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5,2009-054A,35942,"54 Ku-band, 10 C-band transponders; North, Central and South America.",JM/12_09,http://nssdc.gsfc.nasa.gov/spacewarn/spx672.html,http://www.hispasat.com/List.aspx?ShowSearch=true&sectionsId=87&lang=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazonas-3,Brazil,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,GEO,,-61,"35,781","35,791",1.19E-04,0.03,1436.05,"6,265","2,778","14,000",2/7/13,15 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2013-006A,39078,,SC - ASCR,http://www.hispasat.com/Detail.aspx?sectionsId=67&lang=en,http://www.arianespace.com/news-press-release/2013/2-7-2013-VA212-launch.asp,http://space50.kosmo.cz/s40/2013/INDEX1.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazonas-4A,NR,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,GEO,,-61,"35,784","35,795",1.30E-04,0.08,1436.24,"2,938",,,3/22/14,15 yrs.,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2014-011A,39616,Suffered a power malfunction shortly after entering orbit; will affect capacity.,SC - ASCR,http://www.satnews.com/story.php?number=247224721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMC-1 (Americom 1, GE-1)",USA,USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,,GEO,,-103.02,"35,772","35,800",3.32E-04,0.03,1436.1,"2,783","1,600","6,500 (EOL)",9/8/96,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2A,1996-054A,24315,"Broadcasting, business, cable, mobile; 24 C-band and 24 Ku-band transponders; 50 states and Caribbean",JM/12_08,http://nssdc.gsfc.nasa.gov/spacewarn/,http://ses-americom.com/satellites/amc-1.html,http://www.chinastar.com.cn/english/sate/xnzb.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMC-10 (Americom-10, GE 10)",USA,USA,SES World Skies (SES [Soci_t_ Europ_enne des Satellites (SES)]),Commercial,Communications,,GEO,,-134.97,"35,775","35,797",2.61E-04,0.01,1436.09,"2,315",907,"6,500 (EOL)",2/5/04,15 yrs.,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS,2004-003A,28154,24 C-band transponders.,JM/12_08,http://www.ses-americom.com/media/2004/02_05_04.html,http://www.ses-americom.com/satellites/amc-10-11.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx604.html,http://www.planet4589.org/space/jsr/back/news.520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMC-11 (Americom-11, GE 11)",USA,USA,SES World Skies (SES [Soci_t_ Europ_enne des Satellites (SES)]),Commercial,Communications,,GEO,,-130.93,"35,774","35,797",2.73E-04,0.04,1436.07,"2,340","2,316 (BOL)","6,500 (EOL)",5/19/04,15 yrs.,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS,2004-017A,28252,24 C-band transponders.,JM/12_08,http://nssdc.gsfc.nasa.gov/spacewarn/spx607.html,http://www.ses-americom.com/satellites/amc-10-11.html,http://www.spaceref.com/news/viewpr.html?pid=14268,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-16 (Americom-16),USA,USA,SES World Skies (SES [Soci_t_ Europ_enne des Satellites (SES)]),Commercial,Communications,,GEO,,-84.98,"35,780","35,793",1.54E-04,0.02,1436.1,"4,312",,,12/17/04,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,2004-048A,28472,"Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii.",JM/12_08,http://www.lib.cas.cz/www/space.40/2004/048A.HTM,http://nssdc.gsfc.nasa.gov/spacewarn/spx614.html,http://www.ses-americom.com/satellites/amc-16.html,http://www.rednova.com/news/display/?id=112116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-18 (Americom 18),USA,USA,SES World Skies (SES [Soci_t_ Europ_enne des Satellites (SES)]),Commercial,Communications,,GEO,,-104.97,"35,773","35,800",3.20E-04,0.06,1436.1,"2,081",918,,12/8/06,15 yrs.,Lockheed Martin Missiles and Space,USA,Guiana Space Center,Ariane 5,2006-054B,29644,All c-band transponders for North American coverage.,JM/12_08,http://www.ses-americom.com/americom/siteSections/pressroom/12_08_06.php,http://www.lib.cas.cz/www/space.40/INDEX1.HTM,http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMC-2 (Americom 2, GE-2)",USA,USA,SES World Skies (SES [Soci_t_ Europ_enne des Satellites (SES)]),Commercial,Communications,,GEO,,-100.98,"35,774","35,798",2.85E-04,0.05,1436.1,"2,648","1,600","6,500 (EOL)",1/30/97,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L,1997-002A,24713,"Broadcasting, business, cable; CONUS, Hawaii, Caribbean, southern Canada; 24 Ku- and 24 C-band",JM/12_08,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,http://ses-americom.com/satellites/amc-2.html,http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC-21 (Americom 21),United Kingdom,USA,SES World Skies (SES [Soci_t_ Europ_enne des Satellites (SES)]),Commercial,Communications,,GEO,,-124.86,"35,778","35,793",1.78E-04,3,1436.1,"2,500",,"5,000",8/14/08,15 yrs.,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2008-038B,33275,"Television services to the US, Canada, Mexico and Caribbean.",JM/12_08,http://www.orbital.com/NewsInfo/Publications/AMC-21_Fact.pdf,http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2008/038B.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AMC-3 (Americom 3, GE-3)",USA,USA,SES World Skies/Global Eagle Entertainment,Commercial,Communications,,GEO,,-86.96,"35,777","35,795",2.13E-04,0.02,1436.08,"2,845","1,600","6,500 (EOL)",9/4/97,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2AS,1997-050A,24936,"Broadcasting, business, cable; CONUS, Hawaii, Caribbean, southern Canada; 24 Ku- and 24 C-band",JM/12_08,http://nssdc.gsfc.nasa.gov/spacewarn/,http://ses-americom.com/satellites/amc-3.html,http://spacenews.com/sess-amc-9-satellite-drifting-after-anomaly/,http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
