,name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation,state
578,Elida (c),10016,Valid,H5,385.5,Found,1968.0,33.79,-103.56333,"(33.790000, -103.563330)",US-NM
579,Elizabeth,56566,Valid,"Iron, IAB-ung",732.0,Found,,42.318,-90.221,"(42.318000, -90.221000)",US-IA
580,Elkhart,10017,Valid,H5,573.0,Found,1936.0,37.01667,-101.88333,"(37.016670, -101.883330)",US-KS
581,Ellicott,10021,Valid,"Iron, IAB-ung",15700.0,Found,1960.0,38.80778,-104.56944,"(38.807780, -104.569440)",US-CO
582,Ellis County,10022,Valid,H6,4692.0,Found,1948.0,38.78333,-99.33333,"(38.783330, -99.333330)",US-KS
583,Elm Creek,10024,Valid,H4,7000.0,Found,1906.0,38.5,-96.2,"(38.500000, -96.200000)",US-KS
584,Elton,10029,Valid,"Iron, ungrouped",1900.0,Found,1936.0,33.71667,-100.83333,"(33.716670, -100.833330)",US-TX
585,Elyria,10030,Valid,"Iron, IIIAB",10900.0,Found,1971.0,38.28,-97.365,"(38.280000, -97.365000)",US-KS
586,Emery,10031,Valid,Mesosiderite-A3,16700.0,Found,1962.0,43.56333,-97.58333,"(43.563330, -97.583330)",US-SD
587,Emmitsburg,10034,Valid,"Iron, IIIAB?",450.0,Found,1854.0,39.71667,-77.3,"(39.716670, -77.300000)",US-MD
588,Enigma,10036,Valid,H4,94.0,Found,1967.0,31.33333,-82.31667,"(31.333330, -82.316670)",US-GA
589,Enon,10037,Valid,"Iron, ungrouped",763.0,Found,1883.0,39.86667,-83.95,"(39.866670, -83.950000)",US-OH
590,Erie,10045,Valid,L6,3300.0,Found,1965.0,40.03167,-105.05667,"(40.031670, -105.056670)",US-CO
591,Escal�_n,10050,Valid,H4,54.3,Found,1979.0,27.0,-104.0,"(27.000000, -104.000000)",US-TX
592,Essex,10056,Valid,H5,5000.0,Found,2002.0,34.61167,-115.03333,"(34.611670, -115.033330)",US-CA
593,Estacado,10057,Valid,H6,290000.0,Found,1883.0,33.9,-101.75,"(33.900000, -101.750000)",US-TX
594,Etter,10062,Valid,L5,450000.0,Found,1965.0,35.98333,-101.9,"(35.983330, -101.900000)",US-TX
595,Euclid,10063,Valid,H5,2500.0,Found,1970.0,47.95833,-96.7,"(47.958330, -96.700000)",US-ND
596,Eunice,10064,Valid,H5,2300.0,Found,1961.0,34.47,-101.75833,"(34.470000, -101.758330)",US-TX
597,Eustis,10065,Valid,H4,502.0,Found,1918.0,28.83333,-81.68333,"(28.833330, -81.683330)",US-FL
598,Eva,10066,Valid,H5,6700.0,Found,1965.0,36.81667,-101.90833,"(36.816670, -101.908330)",US-OK
599,Fairburn,56565,Valid,"Iron, IAB-ung",445.0,Found,1907.0,43.603,-103.026,"(43.603000, -103.026000)",US-SD
600,Fairfield,10069,Valid,"Iron, IAB-MG",1600.0,Found,1974.0,39.33333,-84.6,"(39.333330, -84.600000)",US-OH
601,Fairview,10070,Valid,"Iron, IIIAB",28800.0,Found,1986.0,34.10139,-102.65,"(34.101390, -102.650000)",US-TX
602,Faith,10071,Valid,H5,105000.0,Found,1952.0,45.33333,-102.08333,"(45.333330, -102.083330)",US-SD
